C/R,Product,Application,DTS #,Description,Status (6.07),Pri,Ass'd DTSs,Releases,PP Pack,Programs,Date Checked,6.07 Chg #,Due Date,To Be Shipped (6.07),Shipping Test,Shipping Live,LSS,CCD,MU2,Resp App,Comments
,CS,ABS,3741,INFCE: Populate Group Text and Coding System Name in DRG|1.1.2 and DRG|1.1.3,Completed,3,,"6.0C, 6.07C",5,ABS.PAT.xo.format.hl7.comp,1/22/2015,ABS 545,1/7/2014,,Y,Y,,,,,
,CS,ADM,7255,INFCE: MIGRATE_IC Filer does not File Consulting Providers into ADM,Completed,3,,"6.0C, 6.07C",4,ADM.PAT.xi.file.hl7.comp.ini.load,1/22/2015,ADM 938,2/17/2012,,Y,Y,,,,,
R,CS,ADM,7426,INFCE: Health Care Number doesn't file from PID|3,Completed,3,,"6.0C, 6.06C, 6.07C, 6.1C, 6.13C, 6.14C",4,"ADM.PAT.xi.file.hl7.comp.him.visit, ADM.PAT.xi.file.hl7.comp.ini.load",1/22/2015,ADM 939,5/21/2012,,Y,Y,,,,,Req'd for Canadian sites
R,CS,ADM,7453,INFCE: Migration Interfaces not filing IN1|14 - Insurance Auth # to right ddef,Completed,3,,"6.0C, 6.07C",5,"ADM.PAT.xi.file.hl7.comp.him.visit, ADM.PAT.xi.file.hl7.comp.ini.load",1/22/2015,ADM 1061,6/19/2014,,Y,Y,,,,,
,CS,ADM,7664,EVN.2 May Contain Invalid Data For Certain Event Types,Completed,3,,"6.0C, 6.07C",,"ADM.PAT.xo.format.hl7.comp, ADM.PAT.xo.format.hl722",1/22/2015,ADM 1117,,,Y,Y,,,,,
,CS,ADM,7755,"INFCE: Migration: PTN, NOK, GT1 names need to be sent in 1 comp to HIM",Completed,3,Y,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C",4,ADM.PAT.xi.file.hl7.comp.him.visit,1/22/2015,ADM 940,12/10/2012,,Y,Y,,,,,
,CS,ADM,7985,INFCE: Fields in MPI getting overwritten by Homecare messages,Draft,3,,"6.0D, 6.07D",,"ADM.PAT.xi.file.hl7.insync, ADM.PAT.xi.file.hl7.maestro",1/22/2015,,,,,,,,,,
,CS,ADM,8019,"INFCE: Fix ROL Segment Always Sending ""AD"" in ROL|2.1.1",Submitted,3,,"6.05S, 6.06S, 6.07S",,,1/22/2015,,,,,,,,,,
,CS,ADM,8052,INFCE - SSN is not sent in ITI-8 messages for HL7 version 2.4,Completed,3,,"6.0C, 6.07C",4,ADM.PAT.xo.format.hl7.iti.8,1/22/2015,ADM 976,1/17/2014,,Y,Y,,Y,,,
,CS,ADM,8117,Maiden name flag is not sent to HIM for MIGRATE_HV interface,Completed,3,Y,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C",4,ADM.PAT.xi.file.hl7.comp.him.visit,1/22/2015,ADM 941,7/27/2013,,Y,Y,,,,,
,CS,ADM,8157,INFCE: 6.x will file an incorrect unit/acct number if MAGIC does not send one,Completed,3,,"6.0C, 6.07C",4,"ADM.PAT.xi.file.hl7.comp.him.visit, ADM.PAT.xi.file.hl7.comp.ini.load",1/22/2015,ADM 942,8/11/2013,,Y,Y,,,,,
,CS,ADM,8183,INFCE: Some Sign Up Dr's do not generate messages,Completed,3,Y,"6.0C, 6.07C",4,"ADM.PARAM.load.event.table, ADM.PAT.xo.format.hl7.comp, ADM.PAT.xo.format.hl7.insync, ADM.PAT.xo.format.hl7.maestro, ADM.STATUS.init.routines",1/22/2015,ADM 953,8/19/2013,,Y,Y,,,,,
,CS,ADM,8248,INFCE: ADT Inbound Demo Recall Messages File to ADM but not HIM,Completed,3,,"6.0C, 6.07C",4,ADM.PAT.xi.file.hl7.comp,1/22/2015,ADM 969,2/20/2014,,Y,Y,,,,,
,CS,ADM,8249,INFCE: Time sent with Birthdate causes blank field in ADM and Incorrect Age,Completed,3,,"6.0C, 6.07C",4,ADM.PAT.xi.file.hl7.comp,1/22/2015,ADM 970,9/30/2013,,Y,Y,,,,,
,CS,ADM,8310,INFCE - ITI-8 root OID does not match ITI-41 root OID,Completed,3,,"6.0C, 6.07C",4,ADM.PAT.xo.format.hl7.iti.8,1/22/2015,ADM 977,2/20/2014,,Y,Y,,Y,,,
,CS,ADM,8331,Wrong patient name sent on switch/Move acct A44 trigger event,Completed,3,,"6.0C, 6.07C",4,ADM.PAT.xo.format.hl7.comp,1/22/2015,ADM 916,12/8/2013,,Y,Y,,,,,
,CS,ADM,8338,A03 can be sent incorrectly for roll over account,Completed,3,,"6.0C, 6.07C",4,ADM.PAT.xo.format.hl7.comp,1/22/2015,ADM 957,2/20/2014,,Y,Y,,,,,
,CS,ADM,8374,INFCE: Inbound ADT FAIL-READs for name mismatch even after ADM 7990,Completed,3,Y,"6.0C, 6.07C",4,ADM.PAT.xi.file.hl7.comp,1/22/2015,ADM 971,1/3/2014,,Y,Y,,,,,
,CS,ADM,8432,RESUB ADM 6326 Read in religion from PID|17 for ADT inbound interface,Completed,3,,6.07C,4,ADM.PAT.xi.file.hl7.comp,1/22/2015,ADM 972,1/16/2014,,Y,Y,,,,,
,CS,ADM,8517,INFCE: DG1 segment - dual coding,Completed,3,,"6.0C, 6.07C",5,ADM.PAT.xo.format.hl7.comp,1/22/2015,ADM 1000,5/15/2014,,Y,Y,,,,,
,CS,ADM,8538,INFCE: Inbound ADT filer doesn't look to ZCD segment correctly,Submitted,3,,"6.0S, 6.07S",,,1/22/2015,,,,,,,,,,
,CS,ADM,8539,INFCE: ITI-8 not producing an ITI-9 event for A01's and A04's as it should,Completed,3,,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C, 6.15C",4,ADM.PAT.xi.file.hl7.iti.8,1/22/2015,ADM 987,5/15/2014,,Y,Y,,Y,,,
R,CS,ADM,8619,INFCE - Memory leak in outbound ADT interfaces,Completed,3,,"6.0C, 6.07C",5,ADM.PAT.xo.format.hl7.comp,1/22/2015,ADM 1016,4/17/2014,,Y,Y,,,,,
,CS,ADM,8624,INFCE - SSN is not sent in PID|19 in ITI-8 messages for HL7 v2.4 and above,Completed,3,,"6.0C, 6.07C",5,ADM.PAT.xo.format.hl7.iti.8,1/22/2015,ADM 1017,5/15/2014,,Y,Y,,Y,,,
,CS,ADM,8632,"SYND: Adding Hook point ""Arrival.Pv2.38""",Completed,3,,"6.0C, 6.07C",5,ADM.TOOL.BOX.init.x.msg.type,1/22/2015,ADM 1042,6/19/2014,,Y,Y,,,Y,,
,CS,ADM,8643,Additional fields for Syndromic Surveillance Interface,Completed,3,,"6.0C, 6.07C",5,ADM.TOOL.BOX.init.x.msg.type,1/22/2015,ADM 1025,6/19/2014,,Y,Y,,,Y,,
,CS,ADM,8714,Always populate EVN|1 with Event Code,Queued,3,,"6.0Q, 6.07Q, 6.1Q, 6.14Q, 6.15Q",,ADM.PAT.xo.format.hl7.comp,1/22/2015,,3/19/2015,,,,,,,,
,CS,ADM,8720,INFCE: ADT Outbound sending blank name components in PID|5 and PID|9,Completed,3,,"6.0C, 6.07C",,ADM.PAT.xo.format.hl7.comp,1/22/2015,ADM 1119,10/16/2014,,Y,Y,,,,,
,CS,ADM,8782,INFCE: Patient's Other Locations & Email Address Removed -ADT Inbound,Draft,3,,"6.0D, 6.07D",,ADM.PAT.xi.file.hl7.comp,1/22/2015,,4/16/2015,,,,,,,,
,CS,ADM,8783,CDA: Rework of Opt Out Query and Patient Confidential flag,Completed,3,Y,"6.0C, 6.07C",,,1/22/2015,ADM 1103,9/18/2014,,Y,Y,,Y,,,
,CS,ADM,8950,"Infce: Add ability to record ""footprints""",Completed,3,Y,"6.0C, 6.07C",,ADM.PAT.xo.driver,1/22/2015,ADM 1158,1/15/2015,Y,,,,,,,
,CS,ADM,8977,Modify formatting of PIDUniversal ID on ITI-8,Completed,3,Y,"6.0C, 6.07C",,ADM.PAT.xo.format.hl7.iti.8,1/22/2015,ADM 1160,3/19/2015,Y,,,,Y,,,
,CS,ADM,8989,INFCE: Inbound A04's from HomeCare are failing for MRI Conflict,Submitted,3,,6.07S,,,1/22/2015,,,,,,,,,,
,CS,LAB,8570,DDP 11346: LIS: Magic 5.6 to C/S 6.0 Dictionary Migration (High Priority DPMs),6.1-Completed,4,Y,"6.0C, 6.04C, 6.05C, 6.06C, 6.1C, 6.11C, 6.13C",,,1/22/2015,,,,,,,,,,
,CS,LAB,9359,INFCE: Invalid facility filtering creates blank order messages,Completed,3,,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C, 6.15C",5,LAB.C.REQ.xo.format.ord.hl7.comp,1/22/2015,LAB 1655,,,Y,Y,,,,,
,CS,LAB,9751,MIC Antibiotic Sensitivities May Not File in COMP Code,Submitted,3,,"6.0S, 6.07S",,,1/22/2015,,,,,,,,,,
,CS,LAB,9843,"BBK: BBK Result populating in OBX|5.1.2, should be in OBX|5.1.1",Completed,3,,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C",4,"LAB.C.SPEC.xo.format.hl7.discres.comp, LAB.C.SPEC.xo.format.hl7.discres.nomen",1/22/2015,LAB 1458,5/10/2011,,Y,Y,,,Y,,
,CS,LAB,10097,INFCE: POC Results In - Invalid Doctor Mnemonic Error,Completed,3,,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C",4,LAB.C.REQ.xi.file.ord.hl7.comp,1/22/2015,LAB 1435,8/15/2011,,Y,Y,,,,,
,CS,LAB,10169,INFCE: NTE Counter not reseting after OBR/OBX segment,Submitted,3,,"6.0S, 6.07S, 6.1S, 6.13S, 6.14S, 6.15S",,,1/22/2015,,,,,,,,,,
,CS,LAB,10257,NMI:LAB Results interface sending corrected flag inappropriately for MIC specs,Submitted,3,,"6.0S, 6.06S, 6.07S, 6.1S, 6.14S, 6.15S",,,1/22/2015,,,,,,,,,,
,CS,LAB,10467,INFCE: LAB Outbound name formats incorrectly in PID Segment,Completed,3,,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C",4,LAB.C.SPEC.xo.format.res.hl7.comp,1/22/2015,LAB 1460,2/7/2012,,Y,Y,,,,,
,CS,LAB,10550,INFCE: MIC NP-ed Multiple Results Sending OBR Segments,Completed,3,,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C",4,"LAB.C.SPEC.xo.format.hl7.discres.comp, LAB.C.SPEC.xo.format.hl7.discres.nomen, LAB.C.SPEC.xo.format.res.hl7.comp",1/22/2015,LAB 1461,3/10/2012,,Y,Y,,,Y,,
R,CS,LAB,10902,INFCE: Discrete Results missing sensis for all procs and site info in OBX,Completed,3,,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C",4,"LAB.C.SPEC.xo.format.hl7.discres.comp, LAB.C.SPEC.xo.format.hl7.discres.nomen",1/22/2015,LAB 1464,7/2/2012,,Y,Y,,,Y,,
,CS,LAB,10937,NETLAB:Addon Orders with Lord Lab Link Rule Fail-Read,Completed,3,,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C, 6.15C",5,LAB.C.REQ.xi.ord.filer.add,1/22/2015,LAB 1627,5/15/2014,,Y,Y,,,,,
,CS,LAB,10966,INFCE: All orders are not being sent in batch for LAB Orders Out,Completed,3,,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C, 6.15C",,LAB.C.REQ.xo.driver.ord,1/22/2015,LAB 1777,7/29/2012,,Y,Y,,,,,
,CS,LAB,10990,INFCE: OV Lab Inbound Order OM Messages Fail-Read for Unrecognized Priority,Submitted,3,,"6.0S, 6.05S, 6.06S, 6.07S, 6.1S, 6.13S, 6.14S, 6.15S",,,1/22/2015,,,,,,,,,,
C,CS,LAB,11013,INFCE: Memory leak in POC Results inbound interface,6.1-Completed,3,,"6.0C, 6.06C, 6.1C, 6.13C, 6.14C",,LAB.C.SPEC.xi.file.res.hl7.comp,1/22/2015,,8/4/2012,,,,,,,,
,CS,LAB,11200,INFCE - Inbound LAB orders error logging can cause errors in DR,Completed,3,,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C, 6.15C",4,LAB.C.REQ.xi.ord.filer,1/22/2015,LAB 1518,10/26/2012,,Y,Y,,,,,
,CS,LAB,11265,LAB/MIC: Weight Queries do not Convert Properly from Dict. to OBX Segment,Completed,3,Y,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C, 6.15C",4,LAB.C.REQ.xo.format.ord.hl7.comp,1/22/2015,LAB 1525,12/1/2012,,Y,Y,,,,,
,CS,LAB,11419,Custom Reg Types Not Working Correctly with HL7 Messages,6.1-Completed,3,Y,"6.1C, 6.13C, 6.14C",,"LAB.C.SPEC.xo.format.hl7.discres.mpm, LAB.C.SPEC.xo.format.hl7.discres.nomen",1/22/2015,,1/14/2013,,,,Y,,Y,,
,CS,LAB,11537,INFCE - Multiple tests filed in one message can have their priorities changed,Submitted,3,,"6.0S, 6.05S, 6.06S, 6.07S, 6.1S, 6.14S, 6.15S",,,1/22/2015,,,,,,,,,,
,CS,LAB,11599,"INFCE: when creating a new patient, name should be uppercase",Completed,3,,"6.0C, 6.07C, 6.1C, 6.13C, 6.14C",4,LAB.C.REQ.xi.file.ord.hl7.comp,1/22/2015,LAB 1436,5/4/2013,,Y,Y,,,,,
,CS,LAB,11643,"INFCE: if PID|3 of inbound OM orders is too short, pad with 0s",Submitted,3,,"6.05S, 6.06S, 6.07S",,,1/22/2015,,,,,,,,,,
,CS,LAB,11647,DDP 17117: Formatter changes needed for 6.1 NIST Stage 2 Certification,6.1-Completed,3,Y,"6.1C, 6.13C, 6.14C",,"LAB.C.SPEC.xo.format.hl7.discres.nomen, LAB.TOOL.BOX.init.x.msg.type",1/22/2015,,6/9/2013,,,,,,Y,,
